ID,NUMERO VICTIMAS,FECHA,DIA DE LA SEMANA,HORA,FRANJA HORARIA,TIPO DE CALLE,DIRECCION,TIPO DE ZONA,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,MES,DÍA
2018-0135,1,2018-12-18,Tuesday,14:40:00,14,AVENIDA,BELGRANO AV. y PERU,ESQUINA,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,12,18
2018-0136,1,2018-12-18,Tuesday,15:42:00,15,AVENIDA,RIVADAVIA AV. 7013,CUADRA,7,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,12,18
2018-0137,1,2018-12-18,Tuesday,20:15:00,20,CALLE,"ALSINA, ADOLFO y SANTIAGO DEL ESTERO",ESQUINA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,12,18
2018-0138,1,2018-12-21,Friday,09:30:00,9,CALLE,BERMUDEZ 1893,CUADRA,10,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,2018,12,21
2018-0139,1,2018-12-22,Saturday,06:30:00,6,CALLE,SANTANDER 1974,CUADRA,7,MOTO-MOTO,MOTO,MOTO,2018,12,22
2018-0140,1,2018-12-22,Saturday,08:05:00,8,CALLE,LANTERI JULIETA 1400,CUADRA,1,AUTO-AUTO,AUTO,AUTO,2018,12,22
2018-0141,1,2018-12-22,Saturday,17:40:00,17,AVENIDA,MAZA e INDEPENDENCIA AV.,ESQUINA,5,PEATON-MOTO,PEATON,MOTO,2018,12,22
2018-0142,1,2018-12-25,Tuesday,13:30:00,13,GRAL PAZ,"PAZ, GRAL. AV. 5172",AUTOPISTA,12,CARGAS-PASAJEROS,CARGAS,PASAJEROS,2018,12,25
2018-0143,1,2018-12-29,Saturday,05:25:00,5,AVENIDA,"OLIVERA AV. y ALBERDI, JUAN BAUTISTA AV.",ESQUINA,10,MOTO-AUTO,MOTO,AUTO,2018,12,29
2019-0001,1,2019-01-08,Tuesday,08:30:00,8,AVENIDA,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",ESQUINA,2,MOTO-CARGAS,MOTO,CARGAS,2019,1,8
2019-0002,1,2019-01-09,Wednesday,04:00:00,4,AVENIDA,"CASTAÃ‘ARES AV. y MORENO, PERITO AV.",ESQUINA,7,AUTO-CARGAS,AUTO,CARGAS,2019,1,9
2019-0003,1,2019-01-12,Saturday,08:00:00,8,AVENIDA,SAN MARTIN AV. y TERRADA,ESQUINA,15,MOTO-AUTO,MOTO,AUTO,2019,1,12
2019-0004,1,2019-01-14,Monday,19:58:00,19,AVENIDA,"PERON, EVA AV. y MEDINA",ESQUINA,9,AUTO-PASAJEROS,AUTO,PASAJEROS,2019,1,14
2019-0005,1,2019-01-19,Saturday,12:00:00,12,AVENIDA,"JUSTO, JUAN B. AV. y ALVAREZ JONTE AV.",ESQUINA,10,MOTO-CARGAS,MOTO,CARGAS,2019,1,19
2019-0006,1,2019-01-23,Wednesday,05:45:00,5,AVENIDA,"OBLIGADO RAFAEL, AV.COSTANERA 4650",CUADRA,14,PEATON-AUTO,PEATON,AUTO,2019,1,23
2019-0007,1,2019-01-26,Saturday,19:34:00,19,CALLE,"MITRE, BARTOLOME y YATAY",ESQUINA,5,MOTO-AUTO,MOTO,AUTO,2019,1,26
2019-0008,1,2019-01-30,Wednesday,22:45:00,22,GRAL PAZ,"PAZ, GRAL. AV. 16080",AUTOPISTA,8,MULTIPLE,MOTO,MULTIPLE,2019,1,30
2019-0009,1,2019-01-31,Thursday,14:55:00,14,AVENIDA,CHACABUCO y SAN JUAN AV.,ESQUINA,1,MOTO-AUTO,MOTO,AUTO,2019,1,31
2019-0010,2,2019-02-02,Saturday,07:50:00,7,AVENIDA,DEL LIBERTADOR AV. 4100,CUADRA,14,PEATON-AUTO,PEATON,AUTO,2019,2,2
2019-0011,1,2019-02-10,Sunday,01:00:00,1,GRAL PAZ,"PAZ, GRAL. AV. y ALBERDI, JUAN BAUTISTA AV.",AUTOPISTA,9,PEATON-AUTO,PEATON,AUTO,2019,2,10
2019-0012,1,2019-02-17,Sunday,03:16:00,3,AVENIDA,"CASTAÃ‘ARES AV. y GORDILLO, TIMOTEO",ESQUINA,8,MOTO-AUTO,MOTO,AUTO,2019,2,17
2019-0013,1,2019-02-20,Wednesday,07:30:00,7,CALLE,SALVIGNY y MOM,ESQUINA,7,PEATON-AUTO,PEATON,AUTO,2019,2,20
2019-0014,1,2019-02-20,Wednesday,17:30:00,17,CALLE,"LAMARCA, EMILIO 5402",CUADRA,11,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2019,2,20
2019-0015,1,2019-02-23,Saturday,06:57:00,6,AVENIDA,SAN MARTIN AV. 5638,CUADRA,11,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2019,2,23
2019-0016,1,2019-02-24,Sunday,02:00:00,2,CALLE,"CARRILLO, RAMON, DR. y FINOCHIETTO ENRIQUE DR.",ESQUINA,4,MOTO-PASAJEROS,MOTO,PASAJEROS,2019,2,24
2019-0017,1,2019-03-03,Sunday,07:00:00,7,CALLE,MEXICO y PICHINCHA,ESQUINA,3,AUTO-PASAJEROS,AUTO,PASAJEROS,2019,3,3
2019-0018,1,2019-03-03,Sunday,23:30:00,23,AUTOPISTA,"CANTILO, INT. y UDAONDO, GUILLERMO AV.",AUTOPISTA,13,PEATON-AUTO,PEATON,AUTO,2019,3,3
2019-0019,1,2019-03-06,Wednesday,12:00:00,12,AVENIDA,DEL LIBERTADOR AV. 6326,CUADRA,13,MOTO-AUTO,MOTO,AUTO,2019,3,6
2019-0020,1,2019-03-07,Thursday,21:01:00,21,AVENIDA,CHICLANA AV. 3444,CUADRA,5,MOTO-AUTO,MOTO,AUTO,2019,3,7
2019-0021,1,2019-03-15,Friday,22:50:00,22,AVENIDA,BOYACA AV. y YERBAL,ESQUINA,7,MOTO-AUTO,MOTO,AUTO,2019,3,15
2019-0022,1,2019-03-15,Friday,00:00:00,0,AVENIDA,ENTRE RIOS AV. 1260,CUADRA,1,AUTO-SD,AUTO,,2019,3,15
2019-0023,1,2019-03-16,Saturday,08:28:00,8,GRAL PAZ,"PAZ, GRAL. AV. y JACQUES, AMADEO",AUTOPISTA,9,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2019,3,16
2019-0024,1,2019-03-19,Tuesday,07:12:00,7,AVENIDA,ANTARTIDA ARGENTINA AV. 1325,CUADRA,1,MOTO-CARGAS,MOTO,CARGAS,2019,3,19
2019-0025,1,2019-03-22,Friday,13:10:00,13,CALLE,"MITRE, BARTOLOME y SANCHEZ DE BUSTAMANTE",ESQUINA,5,PEATON-AUTO,PEATON,AUTO,2019,3,22
